| Biomarker                                 | Unit (US)      | Typical Range – Men            | Typical Range – Women                                                 |
| Vitamin E (α-tocopherol)                  | mg/L           | 5 – 20                         | 5 – 20                                                                |
| Homocysteine                              | µmol/L         | 5 – 15                         | 5 – 15 ([Wikipedia][1])                                               |
| Uric acid                                 | mg/dL          | 4.0 – 8.0                      | 3.0 – 6.0                                                             |
| LDH (lactate dehydrogenase)               | U/L            | 140 – 280                      | 140 – 280                                                             |
| Creatine kinase (CK)                      | U/L            | 39 – 308                       | 26 – 192                                                              |
| Amylase                                   | U/L            | 30 – 110                       | 30 – 110                                                              |
| Lipase                                    | U/L            | 0 – 160                        | 0 – 160                                                               |
| Troponin I (high sensitivity)             | ng/mL          | < 0.01 – 0.04                  | < 0.01 – 0.04                                                         |
| Troponin T (high sensitivity)             | ng/mL          | < 0.01                         | < 0.01                                                                |
| NT-proBNP                                 | pg/mL          | < 125 (<75 yrs)                | < 125 (<75 yrs)                                                       |
| Prothrombin time (PT)                     | seconds        | 11 – 13.5                      | 11 – 13.5                                                             |
| INR                                       | ratio          | 0.8 – 1.2                      | 0.8 – 1.2                                                             |
| aPTT                                      | seconds        | 25 – 35                        | 25 – 35                                                               |
| D-dimer                                   | µg/mL FEU      | < 0.50                         | < 0.50                                                                |
| IGF-1                                     | ng/mL          | ~100 – 300 (age-dependent)     | ~100 – 300 (age-dependent)                                            |
| Growth hormone (GH), fasting              | ng/mL          | < 5                            | < 5                                                                   |
| Parathyroid hormone (PTH, intact)         | pg/mL          | 15 – 65                        | 15 – 65                                                               |
| PSA, total (prostate-specific antigen)    | ng/mL          | < 4.0 (age-adjusted)           | N/A                                                                   |
| Alpha-fetoprotein (AFP)                   | ng/mL          | < 10                           | < 10 ([Wikipedia][1])                                                 |
| CA-125                                    | U/mL           | < 35                           | < 35 ([Wikipedia][1])                                                 |
| CA 19-9                                   | U/mL           | < 37                           | < 37 ([Wikipedia][1])                                                 |
| CEA (carcinoembryonic antigen)            | ng/mL          | < 3 (non-smoker), < 5 (smoker) | < 3 (non-smoker), < 5 (smoker) ([Wikipedia][1])                       |
| Urine microalbumin (spot)                 | mg/L           | 0 – 30                         | 0 – 30                                                                |
| Urine albumin/creatinine ratio            | mg/g           | < 30                           | < 30                                                                  |

[1]: https://en.wikipedia.org/wiki/Reference_ranges_for_blood_tests?utm_source=chatgpt.com "Reference ranges for blood tests"
[2]: https://www.endocrine.org/news-and-advocacy/news-room/2017/landmark-study-defines-normal-ranges-for-testosterone-levels?utm_source=chatgpt.com "Landmark Study Defines Normal Ranges for Testosterone ..."
[3]: https://www.urmc.rochester.edu/encyclopedia/content?ContentID=estradiol&ContentTypeID=167&utm_source=chatgpt.com "Estradiol (Blood)"
[4]: https://www.accp.com/docs/sap/Lab_Values_Table_PSAP.pdf?utm_source=chatgpt.com "REFERENCE VALUES FOR COMMON LABORATORY ..."
[5]: https://www.mountsinai.org/health-library/tests/25-hydroxy-vitamin-d-test?utm_source=chatgpt.com "25-hydroxy vitamin D test Information | Mount Sinai - New York"
[6]: https://www.medicalnewstoday.com/articles/322286?utm_source=chatgpt.com "Vitamin B12 level test: Uses, normal ranges, and results"
[7]: https://rightdecisions.scot.nhs.uk/m/2242/vit-b12-fp-19.pdf?utm_source=chatgpt.com "Vitamin B12: Treatment of Deficiency in Adults"
